place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
BtAm4Uds3GE5GTZp9,https://goo.gl/maps/BtAm4Uds3GE5GTZp9,20200320_203002,Friday,21,43,4
AnRYn1F8NfSGLexf7,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200521_060503,Thursday,8,57,6
4KeEQuDGRHnssfDd7,https://goo.gl/maps/4KeEQuDGRHnssfDd7,20200515_070502,Friday,9,41,31
1qdwnsdgVT73dqXb9,https://goo.gl/maps/1qdwnsdgVT73dqXb9,20200318_194957,Wednesday,21,20,10
w4XMSmdS9J2WL1SU6,https://goo.gl/maps/w4XMSmdS9J2WL1SU6,20200318_194957,Wednesday,21,6,21
BtAm4Uds3GE5GTZp9,https://goo.gl/maps/BtAm4Uds3GE5GTZp9,20200318_194957,Wednesday,21,27,1
C9BfzMCpm3X8Hzyv7,https://goo.gl/maps/C9BfzMCpm3X8Hzyv7,20200611_060502,Thursday,8,80,42
BtAm4Uds3GE5GTZp9,https://goo.gl/maps/BtAm4Uds3GE5GTZp9,20200611_060502,Thursday,8,50,19
NZyFv6ofu6cCqopa8,https://goo.gl/maps/NZyFv6ofu6cCqopa8,20200510_060502,Sunday,8,12,7
AnRYn1F8NfSGLexf7,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200515_070502,Friday,9,46,29
mtKdptssyDkt8AzeA,https://goo.gl/maps/mtKdptssyDkt8AzeA,20200515_070502,Friday,9,16,14
JzVjikfwASSgSNLP8,https://goo.gl/maps/JzVjikfwASSgSNLP8,20200423_070502,Thursday,9,22,30
5y1K6g2EFkL7wDbZ8,https://goo.gl/maps/5y1K6g2EFkL7wDbZ8,20200422_070501,Wednesday,9,23,19
4KeEQuDGRHnssfDd7,https://goo.gl/maps/4KeEQuDGRHnssfDd7,20200422_070501,Wednesday,9,35,20
iFeW6y6nyXAjxciZ8,https://goo.gl/maps/iFeW6y6nyXAjxciZ8,20200422_070501,Wednesday,9,18,23
dVb6V16vxA1Ziswe7,https://goo.gl/maps/dVb6V16vxA1Ziswe7,20200422_070501,Wednesday,9,17,17
5y1K6g2EFkL7wDbZ8,https://goo.gl/maps/5y1K6g2EFkL7wDbZ8,20200430_070502,Thursday,9,34,51
4KeEQuDGRHnssfDd7,https://goo.gl/maps/4KeEQuDGRHnssfDd7,20200430_070502,Thursday,9,32,39
C9BfzMCpm3X8Hzyv7,https://goo.gl/maps/C9BfzMCpm3X8Hzyv7,20200318_194957,Wednesday,21,21,9
48LUNgs9FLyYQxsJ8,https://goo.gl/maps/48LUNgs9FLyYQxsJ8,20200318_194957,Wednesday,21,15,5
nVxxoQs8puA779Xv7,https://goo.gl/maps/nVxxoQs8puA779Xv7,20200320_203002,Friday,22,8,6
j4e5YymDLNkDpy8v9,https://goo.gl/maps/j4e5YymDLNkDpy8v9,20200318_194957,Wednesday,21,6,3
T2cqEGUgNAGoRvHg7,https://goo.gl/maps/T2cqEGUgNAGoRvHg7,20200318_194957,Wednesday,21,23,12
nVxxoQs8puA779Xv7,https://goo.gl/maps/nVxxoQs8puA779Xv7,20200318_194957,Wednesday,21,14,9
mtKdptssyDkt8AzeA,https://goo.gl/maps/mtKdptssyDkt8AzeA,20200318_203002,Wednesday,21,23,15
kHLomhtYszTwGh2M6,https://goo.gl/maps/kHLomhtYszTwGh2M6,20200320_213001,Friday,22,20,16
kHLomhtYszTwGh2M6,https://goo.gl/maps/kHLomhtYszTwGh2M6,20200318_203002,Wednesday,21,12,10
FkmTFTAzRGRwqA1g9,https://goo.gl/maps/FkmTFTAzRGRwqA1g9,20200320_213001,Friday,22,12,5
AnRYn1F8NfSGLexf7,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200320_213001,Friday,22,42,8
qiPeTDvYnELLZA8s7,https://goo.gl/maps/qiPeTDvYnELLZA8s7,20200320_213001,Friday,22,39,10
w4XMSmdS9J2WL1SU6,https://goo.gl/maps/w4XMSmdS9J2WL1SU6,20200320_213001,Friday,22,4,3
PpmPVauuKgEBCeEA7,https://goo.gl/maps/PpmPVauuKgEBCeEA7,20200320_213001,Friday,22,12,7
48LUNgs9FLyYQxsJ8,https://goo.gl/maps/48LUNgs9FLyYQxsJ8,20200320_213001,Friday,22,26,3
BtAm4Uds3GE5GTZp9,https://goo.gl/maps/BtAm4Uds3GE5GTZp9,20200320_213001,Friday,22,30,2
qhaKLXUmp8JnbQtUA,https://goo.gl/maps/qhaKLXUmp8JnbQtUA,20200318_203002,Wednesday,21,29,7
nVxxoQs8puA779Xv7,https://goo.gl/maps/nVxxoQs8puA779Xv7,20200320_213001,Friday,23,3,3
1qdwnsdgVT73dqXb9,https://goo.gl/maps/1qdwnsdgVT73dqXb9,20200318_203002,Wednesday,21,20,1
w4XMSmdS9J2WL1SU6,https://goo.gl/maps/w4XMSmdS9J2WL1SU6,20200318_203002,Wednesday,21,6,13
PpmPVauuKgEBCeEA7,https://goo.gl/maps/PpmPVauuKgEBCeEA7,20200318_203002,Wednesday,21,6,9
j4e5YymDLNkDpy8v9,https://goo.gl/maps/j4e5YymDLNkDpy8v9,20200318_203002,Wednesday,22,,3
BtAm4Uds3GE5GTZp9,https://goo.gl/maps/BtAm4Uds3GE5GTZp9,20200318_203002,Wednesday,22,12,2
nfJKQYBF5FQeHv3X6,https://goo.gl/maps/nfJKQYBF5FQeHv3X6,20200318_203002,Wednesday,22,2,17
