url,description,category,importance,location
https://goo.gl/maps/5y1K6g2EFkL7wDbZ8,ALDI Dübendorf,Groceries,1,nicht Stadt Zürich
https://goo.gl/maps/4KeEQuDGRHnssfDd7,ALDI Männedorf,Groceries,1,nicht Stadt Zürich
https://goo.gl/maps/iFeW6y6nyXAjxciZ8,Aldi Oerlikon,Groceries,1,Stadt Zürich
https://goo.gl/maps/dVb6V16vxA1Ziswe7,ALDI Winterthur,Groceries,1,nicht Stadt Zürich
https://goo.gl/maps/gxzSjZuBX6xcFMCy9,Allmend,Parks,1,Stadt Zürich
https://goo.gl/maps/M5ipNz3bFz3rPKzW7,Arboretum (Rentenwiese),Parks,1,Stadt Zürich
https://goo.gl/maps/ZqkPEirKuZNRCA6UA,Ärztezentrum Oerlikon,Pharmacy / Doctors office,1,Stadt Zürich
https://goo.gl/maps/rytWbfJnQf5kQNRP7,Arzthaus Zürich,Pharmacy / Doctors office,1,Stadt Zürich
https://goo.gl/maps/PyQmY1fv7GfgjBxH6,Bahnhof Apotheke,Pharmacy / Doctors office,1,Stadt Zürich
https://goo.gl/maps/wmVv3z4x9fNVkExZ6,Bahnhof Apotheke Oerlikon,Pharmacy / Doctors office,1,nicht Stadt Zürich
https://goo.gl/maps/AnRYn1F8NfSGLexf7,Bahnhof Stadelhofen,Public Transport,1,Stadt Zürich
https://goo.gl/maps/seNshWBUjytSXrsJA,Bahnhof Wädenswil,Public Transport,1,nicht Stadt Zürich
https://goo.gl/maps/NZyFv6ofu6cCqopa8,Bahnhof Zürich Oerlikon,Public Transport,1,Stadt Zürich
https://goo.gl/maps/YSGEUM4DpNqpoaA39,Bellevue Apotheke,Pharmacy / Doctors office,1,Stadt Zürich
https://goo.gl/maps/CsTsWKgBAH6Ya6nG9,Botanischer Garten,Leisure,3,Stadt Zürich
https://goo.gl/maps/Dm33aTFCEQ3pswHq9,Chinawiese,Parks,1,Stadt Zürich
https://goo.gl/maps/mtKdptssyDkt8AzeA,Coop Bahnhofsbrücke,Groceries,1,Stadt Zürich
